id,name,rating,review_count,address
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,1292,"34 rue Montmartre, 75001 Paris, France"
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins,4.5,483,"39 quai des Grands Augustins, 75006 Paris, France"
BuJnfWI86tTxFUon071EKg,Brasserie Bellanger,5.0,21,"140 rue du Faubourg Poissonnière, 75010 Paris, France"
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,4.5,656,"3 carrefour de l'Odéon, 75006 Paris, France"
70xArgLO0k56YAytyBIHyg,Baguett's Café,4.5,237,"33 rue de Richelieu, 75001 Paris, France"
ctP4c3mwVO5oOzLI48LtuQ,Les Antiquaires,4.5,466,"13 rue du Bac, 75007 Paris, France"
pztzge22A_c_BfzLHCmaMw,Le Bistro du Périgord,4.5,377,"71 rue Saint-Jacques, 75005 Paris, France"
J8q2EjxuOk3v19R5xQWAFA,Café Blanc,4.5,60,"10 rue Croix des Petits Champs, 75001 Paris, France"
ijqSzadlZ9SCXvUEpMimcA,Angelina,4.0,1545,"226 rue de Rivoli, 75001 Paris, France"
zSZ5-zMnusVLLEPOaJasSQ,Au Petit Village,5.0,12,"06 rue Coypel, 75013 Paris, France"
TWsuxL7J0iACK5KplxZMtA,Le P'tit Bistro,4.5,19,"8 rue Saint-Martin, 75004 Paris, France"
lTGYl3EcDKgXUhKpd7qQsw,Le Pré,5.0,10,"4 rue du Four, 75006 Paris, France"
nB_9kzgII13vfX6LNAdi9g,Odette,5.0,9,"25 rue du Pont Neuf, 75001 Paris, France"
DwZsEW-rBrBBLHioGdKoAg,La Fontaine de Mars,4.5,340,"129 rue Saint-Dominique, 75007 Paris, France"
BPqBRgweCDLInSRww9qmYg,Le Corner Saint Germain,4.5,12,"92 boulevard Saint-Germain, 75005 Paris, France"
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence,4.5,509,"15 rue Mesnil, 75116 Paris, France"
-umFmobUgpW_05m_ud1vHw,La Cordonnerie,4.5,102,"20 rue Saint Roch, 75001 Paris, France"
cSw70yMlnM0eeYo2b-WRGA,La French Guinguette,4.5,17,"58 rue Rambuteau, 75004 Paris, France"
e6RHSG0d94yzA3McN-eFxg,Gemini,4.5,42,"16 rue des Halles, 75001 Paris, France"
n-XIbgR-Gwb1CqBMyjwj0w,Chez Fernand,4.5,230,"9 rue Christine, 75006 Paris, France"
ASbVOR_nTHvwEM9GPTyC0Q,Café de Paris,4.0,78,"3 rue de l'Échelle, 75001 Paris, France"
15tUXLav_KIRjszu8IJJ3w,Le Bistrot des Vosges,4.5,75,"31 bd Beaumarchais, 75004 Paris, France"
PXYLVsHC33f_dQVVCH-PMw,Victoires,4.0,260,"6 rue la Vrillière, 75001 Paris, France"
SkZWjUwmNgcCJJQvgJT1DQ,La Jacobine,4.5,347,"59-61 rue Saint-André des Arts, 75006 Paris, France"
n601y41nOORUePsM7KsuaA,Gambino,4.5,242,"6 rue Gomboust, 75001 Paris, France"
26Ts-2XRSeqiweSwLuyv6Q,Grenouilles,5.0,53,"55 rue du Chevalier de la Barre, 75018 Paris, France"
Vc-sEV8jnXpHbFeUvP5tLA,Le Relais de l'Entrecôte,4.0,513,"20 rue Saint Benoît, 75006 Paris, France"
4qTUBV_TXHVZRctoZwr1bg,Les Artizans,4.5,28,"30 rue de Montorgueil, 75001 Paris, France"
9Ju4NtzKkV1kXqlDHq5nUg,Café Louise,4.5,67,"8 rue Croix des Petits Champs, 75001 Paris, France"
aveslz7waP99LSjW_MnLBw,Le Café,4.5,65,"62 rue Tiquetonne, 75002 Paris, France"
26YjCdVvyn5jv4sZYd1Lvw,Loup,4.0,62,"44 rue du Louvre, 75001 Paris, France"
